participant_id,platform_id,platform_label,eligible_platform,checklist_id,execution_mode,status,actual_result,evidence_id,evidence_path,captured_at
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-001,LIVE_LOCAL_SUT,Fail,Heading is 'Đăng Ký'.,T3-ANDROID-CHROME-EMULATION-001,evidence/android-chrome-emulation/001-web-login-baseline.png,2026-08-02T13:01:10.599Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-002,LIVE_LOCAL_SUT,Fail,"First label 'Username', input type 'text'.",T3-ANDROID-CHROME-EMULATION-001,evidence/android-chrome-emulation/001-web-login-baseline.png,2026-08-02T13:01:10.599Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-003,LIVE_LOCAL_SUT,Fail,Password input type is 'text'.,T3-ANDROID-CHROME-EMULATION-001,evidence/android-chrome-emulation/001-web-login-baseline.png,2026-08-02T13:01:10.599Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-009,LIVE_LOCAL_SUT,Fail,Submit button text is 'Sign In'.,T3-ANDROID-CHROME-EMULATION-001,evidence/android-chrome-emulation/001-web-login-baseline.png,2026-08-02T13:01:10.599Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-004,LIVE_LOCAL_SUT,Pass,Empty email validity=false; message='Please fill out this field.'.,T3-ANDROID-CHROME-EMULATION-002,evidence/android-chrome-emulation/002-web-login-required-validation.png,2026-08-02T13:01:12.329Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-005,LIVE_LOCAL_SUT,Pass,Empty password validity=false; message='Please fill out this field.'.,T3-ANDROID-CHROME-EMULATION-002,evidence/android-chrome-emulation/002-web-login-required-validation.png,2026-08-02T13:01:12.329Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-006,LIVE_LOCAL_SUT,Pass,Inline red feedback shown: 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-ANDROID-CHROME-EMULATION-003,evidence/android-chrome-emulation/003-web-login-invalid-feedback.png,2026-08-02T13:01:14.127Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-007,LIVE_LOCAL_SUT,Fail,Reached /forgot-password; SPA marker lost due to full document navigation.,T3-ANDROID-CHROME-EMULATION-004,evidence/android-chrome-emulation/004-web-login-forgot-navigation.png,2026-08-02T13:01:15.891Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-008,LIVE_LOCAL_SUT,Pass,Reached /register; SPA marker preserved.,T3-ANDROID-CHROME-EMULATION-005,evidence/android-chrome-emulation/005-web-login-register-navigation.png,2026-08-02T13:01:18.445Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-010,LIVE_LOCAL_SUT,Fail,Three wrong attempts returned HTTP 401/401/403; UI still says 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-ANDROID-CHROME-EMULATION-006,evidence/android-chrome-emulation/006-web-login-lockout-feedback.png,2026-08-02T13:01:20.229Z
