STT,IA nhóm,Màn hình liên quan,Mô tả tiêu chí kiểm tra,Kết quả mong đợi (Expected),Status,Notes
GUI-001,IA-01 General UI standards,Product Detail Web,"Kiểm tra tiêu đề chính (h1) của trang chi tiết sản phẩm","Trang chi tiết sản phẩm hiển thị đúng 1 tiêu đề chính h1 là tên sản phẩm, không dùng h2 làm tiêu đề trang.",Pass,
GUI-002,IA-01 General UI standards,Product Detail Web,"Kiểm tra tỷ lệ và khung hiển thị của ảnh sản phẩm lớn","Ảnh sản phẩm lớn có tỷ lệ hiển thị ổn định, không bị méo, vỡ layout hoặc tràn khỏi khung ở desktop và mobile breakpoint.",Pass,
GUI-003,IA-01 General UI standards,Product Detail Web,"Kiểm tra thuộc tính alt text của ảnh sản phẩm","Ảnh sản phẩm có alt text mô tả đúng tên sản phẩm theo FR-24, không để alt rỗng.",Pass,
GUI-004,IA-01 General UI standards,Product Detail Web,"Kiểm tra định dạng hiển thị giá tiền sản phẩm","Giá sản phẩm dùng ký hiệu ₫ và định dạng phân cách hàng nghìn nhất quán với FR-21.",Pass,
GUI-005,IA-01 General UI standards,Product Detail Web,"Kiểm tra màu sắc nút Thêm vào giỏ hàng","Nút Thêm vào giỏ hàng dùng màu hành động tích cực nhất quán với quy định nút positive trong FR-21.",Pass,
GUI-006,IA-01 General UI standards,Product Detail Web,"Kiểm tra layout căn chỉnh và khoảng cách giữa các khối nội dung","Tên, giá, mô tả, danh mục và khu vực nhập số lượng được căn chỉnh rõ ràng; khoảng cách giữa các khối không gây nhầm nút với nội dung mô tả.",Pass,
GUI-007,IA-01 General UI standards,Cart Web,"Kiểm tra các cột trong bảng danh sách giỏ hàng","Bảng giỏ hàng hiển thị đủ cột Sản phẩm, Đơn giá/Giá, Số lượng, Thành tiền, Thao tác theo FR-07.",Pass,
GUI-008,IA-01 General UI standards,Cart Web,"Kiểm tra nhãn hiển thị tổng tiền giỏ hàng","Nhãn tổng tiền phải là ""Tổng cộng"" theo đặc tả FR-07, không dùng nhãn ""Tổng tạm tính"".",Fail,"Nhãn hiển thị ""Tổng tạm tính"" thay vì ""Tổng cộng"" theo đặc tả FR-07."
GUI-009,IA-01 General UI standards,Cart Web,"Kiểm tra nhất quán định dạng tiền tệ trong giỏ hàng","Các giá trị Đơn giá, Thành tiền và Tổng cộng đều dùng cùng định dạng tiền Việt Nam và ký hiệu ₫.",Pass,
GUI-010,IA-01 General UI standards,Cart Web,"Kiểm tra hiển thị bảng giỏ hàng trên màn hình hẹp","Trên màn hình hẹp, bảng giỏ hàng không bị cắt mất cột Thao tác hoặc làm chữ chồng lên nhau.",Fail,"Bảng giỏ hàng không được bọc trong container cuộn ngang (overflow-x-auto), gây tràn layout ở viewport hẹp."
GUI-011,IA-01 General UI standards,Product Management Admin Web,"Kiểm tra tiêu đề trang Quản lý Sản phẩm Admin","Màn hình Quản lý Sản phẩm có tiêu đề rõ ràng và không tạo nhiều h1 cạnh tranh với tiêu đề EShop Admin.",Pass,
GUI-012,IA-01 General UI standards,Product Management Admin Web,"Kiểm tra màu sắc nút hành động trong Admin","Màu nút Lưu/Import là hành động tích cực và nút Xóa là màu đỏ nguy hiểm theo FR-21.",Pass,
GUI-013,IA-01 General UI standards,Product Management Admin Web,"Kiểm tra hiển thị ảnh thumbnail trong danh sách Admin","Danh sách sản phẩm có ảnh thumbnail cùng kích thước, có fallback khi URL ảnh hỏng và không làm lệch chiều cao dòng.",Pass,
GUI-014,IA-01 General UI standards,Product Detail Mobile,"Kiểm tra vùng cuộn nội dung chi tiết sản phẩm trên mobile","Màn hình chi tiết sản phẩm mobile hiển thị đủ ảnh, tên, giá, mô tả và số lượng trong vùng cuộn, không có nội dung bị che bởi header/footer.",Pass,
GUI-015,IA-01 General UI standards,Product Detail Mobile,"Kiểm tra vị trí hiển thị nút Thêm vào giỏ hàng trên mobile","Nút Thêm vào giỏ hàng trên mobile nằm trọn trong viewport, không bị lệch ngang hoặc khuất ngoài màn hình.",Pass,
GUI-016,IA-01 General UI standards,Product Detail Mobile,"Kiểm tra cỡ chữ và xuống dòng tự động trên mobile","Cỡ chữ tên sản phẩm, giá và mô tả dễ đọc trên thiết bị thật; dòng dài được wrap thay vì tràn khỏi card.",Pass,
GUI-017,IA-02 Forms,Product Detail Web,"Kiểm tra ràng buộc giá trị ô nhập Số lượng","Ô Số lượng trên chi tiết sản phẩm chỉ chấp nhận số nguyên dương và giá trị tối thiểu là 1 theo FR-06.",Fail,"Ô số lượng chấp nhận số âm, số 0, số thập phân mà không chặn ở giao diện."
GUI-018,IA-02 Forms,Product Detail Web,"Kiểm tra thông báo lỗi khi nhập Số lượng không hợp lệ","Khi nhập 0, số âm, số thập phân hoặc chữ vào Số lượng, UI chặn hoặc hiển thị lỗi rõ ràng trước khi thêm vào giỏ.",Fail,"Không chặn hoặc hiển thị thông báo lỗi khi nhập số lượng không hợp lệ (nhập âm, chữ, rỗng)."
GUI-019,IA-02 Forms,Product Detail Web,"Kiểm tra liên kết nhãn (label) với ô nhập Số lượng","Nhãn Số lượng được liên kết trực quan với ô nhập và không chỉ dựa vào placeholder.",Pass,
GUI-020,IA-02 Forms,Product Detail Web,"Kiểm tra thứ tự di chuyển phím Tab (Tab order)","Tab order đi từ ảnh/nội dung sang ô Số lượng rồi đến nút Thêm vào giỏ hàng theo thứ tự đọc tự nhiên.",Pass,
GUI-021,IA-02 Forms,Cart Web,"Kiểm tra điều khiển tăng/giảm số lượng trong giỏ hàng","Nếu giỏ hàng có điều khiển tăng/giảm số lượng, các nút +/- phải có nhãn dễ hiểu và cập nhật số lượng trong cùng dòng sản phẩm.",Pass,"Trang giỏ hàng trên web không có nút điều chỉnh số lượng nên tiêu chí này không áp dụng."
GUI-022,IA-02 Forms,Cart Web,"Kiểm tra giới hạn khi chỉnh sửa số lượng trực tiếp trong giỏ hàng","Không cho phép số lượng trong giỏ hàng về 0 hoặc âm nếu có chỉnh sửa số lượng trực tiếp; UI phải yêu cầu xóa sản phẩm bằng thao tác Xóa.",Pass,"Trang giỏ hàng trên web không có nút điều chỉnh số lượng nên tiêu chí này không áp dụng."
GUI-023,IA-02 Forms,Product Management Admin Web,"Kiểm tra đánh dấu trường bắt buộc (*) trong Form Admin","Form thêm/sửa sản phẩm đánh dấu * cho các trường bắt buộc: Tên sản phẩm, Giá, Danh mục theo FR-22 và FR-15.",Fail,"Form không có dấu sao (*) đánh dấu cho các trường bắt buộc (Tên sản phẩm, Giá, Danh mục)."
GUI-024,IA-02 Forms,Product Management Admin Web,"Kiểm tra validation trường Tên sản phẩm","Tên sản phẩm không được để trống và không vượt quá 255 ký tự; lỗi hiển thị gần trường nhập và trên nút submit nếu submit thất bại.",Fail,"Không có kiểm tra độ dài tên (tối đa 255 ký tự) ở giao diện, lỗi từ API hiển thị qua alert thay vì gần input."
GUI-025,IA-02 Forms,Product Management Admin Web,"Kiểm tra validation trường Giá sản phẩm","Trường Giá dùng input number, chặn giá rỗng, 0, số âm và giá trị không phải số theo FR-15.",Fail,"Trường giá cho phép nhập rỗng, 0 hoặc số âm mà không có kiểm tra chặn."
