TestCaseID,API,Method,Endpoint,Category,Preconditions,Input,ExpectedResult,Priority,Source,AuditStatus,AuditReasoning,ActualResult,PassFail,BugRef,Notes
TC-PROFILE-001,UpdateProfile,PUT,/api/users/me,DomainPartition,"EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!. | Snapshot GET /api/users/me (email, role, current profile) before the PUT.","{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyen Van A"", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}}","The authenticated user's name, phone, and shipping_address match the submitted values on a follow-up GET /api/users/me. email and role are unchanged. Success HTTP status and response body are not specified.",High,AI,VALID,"FR-04 allows updating name, phone, and default shipping address for the logged-in user; email and role must stay unchanged (FR-04 / SEC-06). Input is the documented example shape.",,,,"Sub-domains: P-NAME-01, P-PHONE-01, P-ADDR-01, P-AUTH-01, P-ROLE-01, P-EMAIL-01, P-BODY-01 | Type=Valid | File=tests/test-cases/profile/TC-PROFILE-001.md"
TC-PROFILE-002,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyen Van A"", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""09123456789""}}",GET /api/users/me shows phone=09123456789 together with the submitted name and shipping_address. email and role unchanged. Success status/body not specified.,High,AI,VALID,FR-04 states a valid phone is 10–11 digits starting with 0. 11 digits is the documented maximum.,,,,"Sub-domains: P-PHONE-02, P-NAME-01, P-ADDR-01, P-AUTH-01 | Type=Valid | File=tests/test-cases/profile/TC-PROFILE-002.md"
TC-PROFILE-003,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyễn Văn Á"", ""shipping_address"": ""12 Nguyễn Huệ, Quận 1, TP.HCM"", ""phone"": ""09123456789""}}","GET /api/users/me persists the Unicode name, Unicode address, and 11-digit phone exactly. email and role unchanged. Success status/body not specified.",High,AI,VALID,No charset restriction is stated for name or address. 11-digit phone is in the FR-04 valid set. Combining valid representatives is allowed.,,,,"Sub-domains: P-NAME-02, P-ADDR-02, P-PHONE-02, P-AUTH-01 | Type=Valid | File=tests/test-cases/profile/TC-PROFILE-003.md"
TC-PROFILE-004,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed admin admin@eshop.com / Admin123! exists (role=admin). | Obtain an admin JWT via POST /api/login with email=admin@eshop.com password=Admin123!. | Snapshot GET /api/users/me as admin.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Admin Updated"", ""phone"": ""0912345678"", ""shipping_address"": ""1 Admin Street""}}",GET /api/users/me as that admin shows the new name/phone/address and role still admin. Success status/body not specified.,High,AI,VALID,FR-04 applies to a logged-in user; an admin token is a logged-in user. Role must remain admin (FR-04 / SEC-06).,,,,"Sub-domains: P-AUTH-02, P-NAME-01, P-PHONE-01, P-ADDR-01 | Type=Valid | File=tests/test-cases/profile/TC-PROFILE-004.md"
TC-PROFILE-005,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyen Van A"", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0000000000""}}",GET /api/users/me shows phone=0000000000. Success status/body not specified.,Medium,AI,VALID,"0000000000 starts with 0 and has 10 digits, which is the only phone rule FR-04 states. No numbering-plan rule exists.",,,,"Sub-domains: P-PHONE-14, P-NAME-01, P-ADDR-01 | Type=Valid | File=tests/test-cases/profile/TC-PROFILE-005.md"
TC-PROFILE-006,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyen <b>A</b>"", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}}","Name charset/HTML handling is not specified. Do not expect accept or reject. If a name is stored, email and role still must not change (FR-04 / SEC-06).",Medium,AI,INCOMPLETE,"No name-format or HTML rule is stated. The generated case asserted HTTP 200 and literal persistence, which is not in the spec.",,,,"Sub-domains: P-NAME-08, P-PHONE-01, P-ADDR-01 | Type=Unspecified | File=tests/test-cases/profile/TC-PROFILE-006.md"
TC-PROFILE-007,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""Nguyen Van A"", ""shipping_address"": ""123 <script>alert(1)</script>"", ""phone"": ""0912345678""}}",Address charset/HTML handling is not specified. Do not expect accept or reject. email and role must not change if any update occurs.,Medium,AI,INCOMPLETE,No shipping_address format/HTML rule is stated. Generated oracle assumed accept-and-persist.,,,,"Sub-domains: P-ADDR-07, P-NAME-01, P-PHONE-01 | Type=Unspecified | File=tests/test-cases/profile/TC-PROFILE-007.md"
TC-PROFILE-008,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!. | Snapshot GET /api/users/me.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": """", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}}",The SRS and api_specification.md do not state this input is invalid or required. Do not expect rejection. Record what the SUT does; do not fail it against an invented rule.,High,AI,INVALID,FR-14 says category name cannot be empty; FR-04 never says name cannot be empty. Empty name was treated as invalid by assumption.,,,,"Sub-domains: P-NAME-03, P-PHONE-01, P-ADDR-01, P-AUTH-01 | Type=Unspecified | File=tests/test-cases/profile/TC-PROFILE-008.md"
TC-PROFILE-009,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!. | Snapshot GET /api/users/me.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": ""   "", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}}",The SRS and api_specification.md do not state this input is invalid or required. Do not expect rejection. Record what the SUT does; do not fail it against an invented rule.,High,AI,INVALID,No whitespace rule is stated for name.,,,,"Sub-domains: P-NAME-04, P-PHONE-01, P-ADDR-01, P-AUTH-01 | Type=Unspecified | File=tests/test-cases/profile/TC-PROFILE-009.md"
TC-PROFILE-011,UpdateProfile,PUT,/api/users/me,DomainPartition,EShop backend is running at http://localhost:3000. | Seed user test@eshop.com / Test1234! exists (role=user). | Obtain a user JWT via POST /api/login with email=test@eshop.com password=Test1234!. | Snapshot GET /api/users/me.,"{""headers"": {""Authorization"": ""Bearer <access_token>"", ""Content-Type"": ""application/json""}, ""body"": {""name"": null, ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}}",The SRS and api_specification.md do not state this input is invalid or required. Do not expect rejection. Record what the SUT does; do not fail it against an invented rule.,High,AI,INVALID,Null handling for name is not specified.,,,,"Sub-domains: P-NAME-06, P-PHONE-01, P-ADDR-01, P-AUTH-01 | Type=Unspecified | File=tests/test-cases/profile/TC-PROFILE-011.md"
