Finding ID,Severity,Category,Requirement ID,Artifact,Item/Bug ID,Description,Evidence,Status,Required Fix
AUD-001,Critical,Git Integrity,R-30; R-33; R-40,task1-gui/git-commit-log.txt,All declared hashes,The nine declared commit hashes do not exist and task1-gui is untracked; the deliverable generator writes the hashes directly,git status; git log --all -- task1-gui; git cat-file exit 128; scripts/generate_all_deliverables.py:1401-1412,Open,Remove false history and create only authentic prospective commits
AUD-002,Critical,Execution Integrity,R-12; R-36; R-40,task1-gui/scripts,All 58 items,Actual and Status values are hard-coded by the generator; the execution helper has no item iteration or assertions or result output,scripts/generate_all_deliverables.py:952-966; scripts/run-gui-execution.js:22-140,Open,Execute every item and retain an item-level run log with modes and timestamps
AUD-003,Critical,Mobile Execution,R-35; R-33; R-40,task1-gui/evidence/mobile-login/BUG-GUI-05_mobile-login.png,GUI-MOBILE-LOGIN-001..011,Mobile evidence is a Chromium React Native Web page at localhost:8081 and not Expo Go or emulator or physical-device execution,scripts/run-gui-execution.js:109-130; scope-analysis.md:45-48; PNG 780x1688,Open,Re-run on a real native target and record device/OS/backend/keyboard/touch evidence
AUD-004,Critical,GitHub Traceability,R-20; R-21; R-40,task1-gui/github-issues,BUG-GUI-01..05,No real GitHub Issue URL or screenshot attachment exists; all five files are offline drafts marked PENDING_EXTERNAL_ACTION,GUI_Bug_Report_HW3.md:15/54/85/117/152; github-issues BUG-GUI files line 7,Open,Create and verify real issues and labels and ownership and uploaded screenshots
AUD-005,High,Test Summary,R-25; R-40,task1-gui/GUI_Test_Summary_HW3.md,All metrics,Summary reports 40 Pass and 18 Fail; checklist contains 36 Pass and 22 Fail; correct pass rate is 62.07% not 68.97%,GUI_Test_Summary_HW3.md:14-20/43-48; GUI_Checklist_HW3.md:13-70,Open,Generate summary metrics directly from final checklist rows
AUD-006,High,Scope Coverage,R-02; R-05,frontend-web/src/pages/Register.jsx,FR-01,FR-01 requires Confirm Password but the SUT and checklist have no field or check for it,README.md:30-36; Register.jsx:31-81; no matching checklist item,Open,Add a requirement-aligned checklist item and execute it; separately log the SUT gap if applicable
AUD-007,High,Requirement Mapping,R-02; R-39,task1-gui/GUI_Checklist_HW3.md,GUI-WEB-LOGIN-010,Item uses five failed attempts while FR-02 requires lock at three for 30 seconds; source adds two attempts and locks 180 seconds,GUI_Checklist_HW3.md:22; README.md:41-42; backend/server.js:54-58,Open,Rewrite expected threshold and duration and execute the exact boundary sequence
AUD-008,High,Imaginary Requirement,R-02; R-19; R-39,task1-gui/GUI_Checklist_HW3.md,GUI-ADMIN-CATEGORY-005 / BUG-GUI-04,Checklist and bug treat missing Category Edit as an FR-14 defect but FR-14 only requires Add/View/Delete,GUI_Checklist_HW3.md:51; GUI_Bug_Report_HW3.md:111-142; README.md:186-189,Open,Remove the Edit defect or amend the requirement before testing it
AUD-009,High,Evidence Quality,R-18,task1-gui/evidence,22 Fail rows,Five static screenshots do not visibly demonstrate most packed dynamic failures including reload and lockout and alerts and delete and loading and double submit,run-gui-execution.js:26-130; evidence audit table in INDEPENDENT_COMPLIANCE_AUDIT.md,Open,Capture failure-specific evidence tied to each checklist ID
AUD-010,High,AI Human Provenance,R-08; R-09; R-10,task1-gui/GUI_Checklist_HW3.md,Origin fields,Final data is 48 AI_INITIAL and 10 HUMAN_ADDED while reports claim 47/11; no real Git history proves human authorship,GUI_Checklist_HW3.md:13-70; AI_Item_Level_Critique.md:68-72; git log/status,Open,Preserve authentic raw-to-review diffs and correct origin counts
